tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt2301451,tvEpisode,Ozymandias,Ozymandias,0,2013,NA,47,"Crime,Drama,Thriller",10,286687
tt39196717,movie,Ranapati Shivray Swari Agra,Ranapati Shivray Swari Agra,0,2026,NA,167,"Drama,History",10,1627
tt0701989,tvEpisode,Everyone's Waiting,Everyone's Waiting,0,2005,NA,73,"Comedy,Drama",9.9,16324
tt11028174,tvEpisode,The View from Halfway Down,The View from Halfway Down,0,2020,NA,26,"Animation,Comedy,Drama",9.9,29764
tt11294360,tvEpisode,End of the Prologue,End of the Prologue,0,2019,NA,24,"Action,Adventure,Animation",9.9,31530
tt1204265,tvEpisode,"Sozin's Comet, Part 4: Avatar Aang","Sozin's Comet, Part 4: Avatar Aang",0,2008,NA,21,"Action,Adventure,Animation",9.9,24021
tt12187040,tvEpisode,Plan and Execution,Plan and Execution,0,2022,NA,50,"Crime,Drama",9.9,74084
tt1310121,tvEpisode,Re;,Re;,0,2008,NA,24,"Action,Animation,Drama",9.9,16553
tt1683088,tvEpisode,Face Off,Face Off,0,2011,NA,50,"Crime,Drama,Thriller",9.9,99127
tt2178784,tvEpisode,The Rains of Castamere,The Rains of Castamere,0,2013,NA,51,"Action,Adventure,Drama",9.9,141609
tt2301455,tvEpisode,Felina,Felina,0,2013,NA,55,"Crime,Drama,Thriller",9.9,181476
tt35841519,movie,Madham,Madham,0,2026,NA,128,Drama,9.9,1512
tt3748420,tvEpisode,Anger × and × Light,Anger × and × Light,0,2014,NA,23,"Action,Adventure,Animation",9.9,17036
tt38504411,tvEpisode,I'll Believe in Anything,I'll Believe in Anything,0,2025,NA,55,"Drama,Romance,Sport",9.9,68001
tt4283088,tvEpisode,Battle of the Bastards,Battle of the Bastards,0,2016,NA,60,"Action,Adventure,Drama",9.9,253927
tt4283094,tvEpisode,The Winds of Winter,The Winds of Winter,0,2016,NA,68,"Action,Adventure,Drama",9.9,183014
tt6066926,tvEpisode,Dream: To See It to the End,Dream: To See It to the End,0,1997,NA,32,"Action,Animation,Drama",9.9,2943
tt6381882,tvEpisode,A Regular Epic Final Battle,A Regular Epic Final Battle,0,2017,NA,33,"Action,Adventure,Animation",9.9,8153
tt8084176,tvEpisode,407 Proxy Authentication Required,407 Proxy Authentication Required,0,2019,NA,56,"Crime,Drama,Thriller",9.9,42870
tt9313978,tvEpisode,Victory and Death,Victory and Death,0,2020,NA,23,"Action,Adventure,Animation",9.9,22566
